,Name,Electorate,Party,Year of birth,Elected by,Total votes,Percentage,First elected
110,Harete Hipango,NZ at large,National,1964,NaN,NaN,NaN,2021
111,Brooke van Velden,NZ at large,ACT,1992,NaN,NaN,NaN,2020
112,Nicole McKee,NZ at large,ACT,1971,NaN,NaN,NaN,2020
113,Chris Baillie,NZ at large,ACT,1961,NaN,NaN,NaN,2020
114,Simon Court,NZ at large,ACT,NaN,NaN,NaN,NaN,2020
115,James McDowall,NZ at large,ACT,1988,NaN,NaN,NaN,2020
116,Karen Chhour,NZ at large,ACT,1980,NaN,NaN,NaN,2020
117,Mark Cameron,NZ at large,ACT,1972,NaN,NaN,NaN,2020
118,Toni Severin,NZ at large,ACT,NaN,NaN,NaN,NaN,2020
119,Damien Smith,NZ at large,ACT,NaN,NaN,NaN,NaN,2020
120,Debbie Ngarewa-Packer,NZ at large,Māori,1966,NaN,NaN,NaN,2020
